"","baseMean1","baseMean2","lfc1","lfc2","d0L1","d0R1","d0L2","d0R2","d0min"
"bad",33818.5057652567,20594.0389050345,0.34326165820787,0.329297373253345,1569,5947,2343,4444,1569
"YIL176C_04_DEGEN",6845.97651516132,5437.22352250249,0.188755409070526,0.219244034388352,3236,1906,997,2184,997
"YAL048C_04",5820.86903633677,4532.22304834846,0.244552269152155,0.0900174956467084,651,2612,1754,4804,651
"YIL090W_01",10787.0429831909,4291.11042864782,0.372529605333128,0.30482586634572,478,2438,1110,701,478
"YAR010C_06_DEGEN",4840.85161137878,4277.1412818441,0.198904081713758,0.20950902879602,2977,414,1356,1668,414
"YML053C_06",6500.83746214188,4038.36559470844,0.156949378325253,0.0919784114110941,2587,3325,2218,3425,2218
"YLR031W_02",3777.04969715081,3774.49711476176,0.298449007380659,0.23194352569027,1458,30,1345,1152,30
"YJR132W_03",7029.31711891949,3368.57570434555,-0.455582338769171,0.144303901712376,37,2617,743,2970,37
"YLR028C_09",10292.8951982258,3174.75571402202,0.139299689030035,0.033899915094839,6175,4285,1052,2713,1052
"YDL221W_05",3210.72985586785,3161.17972461861,-0.00542283701072683,0.00176471917235885,471,5231,3745,3513,471
"YJL174W_04",7731.83823386798,3148.90448857226,0.221013209362539,0.343201526986528,2754,246,94,956,94
"YDL222C_00",3078.51974826198,3029.04950309658,0.13331147379013,0.109354178141915,2129,1182,2640,1330,1182
"YER180C-A_08",3334.02410213174,2985.2872201822,0.170880607247419,0.0960094871495119,2097,1134,306,3631,306
"YHL014C_09",3157.17848058248,2943.58013858749,0.0613161387042836,0.0838021408514198,1672,3440,1505,1776,1505
"YNR062C_09",4031.88990300967,2816.06159479644,0.220108726186332,0.273404661640073,2700,217,600,755,217
"YLR317W_04",2895.77679548043,2786.50413077808,0.104478986939495,0.145158240522252,3019,369,1506,312,312
"YEL075C_02_DEGEN",2867.14428369368,2752.57465928316,0.0186198174608308,-0.149934913810043,796,3945,13,5528,13
"YPL034W_02",3582.95919740784,2738.96290455103,0.169159423691961,0.106335543802318,2497,98,223,3043,98
"YOR295W_00",3765.67828389799,2687.04552999159,0.130457322822291,0.122584828490714,1176,2645,1543,1747,1176
"YBL005W-A_08_DEGEN",4443.31377421321,2666.62298733771,0.124510933100834,0.0799981127567587,4154,607,457,3028,457
"YLR442C_02",6679.27395000679,2618.12080040772,0.0927528547382116,0.155757752018194,7494,2794,1026,2249,1026
"YDL132W_09",2896.36184239964,2580.45276018481,0.111267828336024,0.162937488954422,331,3887,1304,1029,331
"YDL171C_04",4099.32345681146,2574.58928954345,0.162586633273004,0.176914500163772,2363,1574,1174,967,967
"YMR298W_08",2673.54846817204,2572.79254953507,0.117606272660342,0.187395380607127,399,1986,637,1187,399
"YML054C-A_08",2674.29714608591,2544.03749124995,0.126241078646102,0.112198790542234,435,2804,494,2594,435
"YNL230C_02",3001.08644377032,2536.79155834666,0.0897190403311837,0.103195599164687,1194,2789,1545,1779,1194
"YDR511W_01",9513.80948581471,2475.02819009805,0.210112819059448,0.144020170681597,5099,1254,402,1903,402
"YDL045W-A_00",2679.88005715339,2454.01572206907,0.0790618616443348,0.0474041239133127,1175,2841,2682,1300,1175
"YPL053C_09",2722.26309225788,2441.67578253636,0.118213337356109,0.126404860725282,78,2584,2462,11,11
"Empty",6177.88498106648,2373.64873477675,0.11694002824802,0.131459739172938,1446,5468,2849,157,157
"YDR261C-D_06_DEGEN",2974.65706689706,2327.44488484283,0.255160878979161,0.266383103642832,1177,602,897,186,186
"YNL264C_09",3652.2984097171,2298.35537706405,0.133672809303196,0.146665682673328,3789,202,115,1441,115
"YDL117W_03",4361.6755643648,2295.16092598611,0.144986878262526,0.135820464629175,1860,2607,347,1956,347
"YNL202W_09",2554.57583507474,2266.43178376153,0.113393139758525,0.0278237686870341,2521,200,3011,1785,200
"YNL224C_05",2310.49810298225,2228.80488170676,0.0556625620707759,-0.00705808110406608,2654,1350,2546,1950,1350
"YPR047W_01",3908.84121307231,2202.05588085516,0.104237911977901,0.101571576105703,3673,990,91,2823,91
"YJR112W-A_03",2707.04236054032,2198.10457458443,0.16292664963111,0.0703269419043833,971,1628,1104,2524,971
"YGR065C_01",7742.43105399743,2189.08889707234,0.317652681991011,0.0601619738215373,1451,31,276,2858,31
"YGR188C_01",2899.70643749485,2160.03442539074,0.00975984092646802,0.0548551739534497,124,2030,1891,1372,124
"YLR389C_06",2934.32954555035,2159.5251577582,0.0167254435108342,0.0487819048415852,4580,238,367,3184,238
"YGL181W_07",6730.42188947737,2109.71527338761,0.0585014258566767,0.0095136046001748,7976,1831,1758,2613,1758
"YGL101W_05",3549.07229379682,2106.78095393996,0.094309816837658,0.13688601100109,2963,1689,1454,1277,1277
"YPL274W_02",2375.80691020738,2105.94732534693,0.15359945992028,0.0848609970594468,1140,1489,1794,992,992
"YOL061W_02",31087.3294802572,2105.29368779361,0.324696396154168,-0.05407640858554,5410,4257,4,3774,4
"YBL076C_08",3849.23319185115,2100.71284739393,0.157094320582396,0.110480415473827,2701,441,97,2047,97
"YDR458C_07",3522.67579260857,2093.04598860563,0.101576491016191,0.0830071908933519,250,4158,609,1779,250
"YLR173W_00",2639.15680627083,2086.94677462945,0.0688387554174927,0.228654756466559,2623,1256,1762,0,0
"YJL113W_04",2530.40993252712,2084.05622728891,0.193499629984953,0.190370760513839,534,1118,1079,45,45
"YOR051C_05",5085.24900871615,2079.14637710355,-0.0402629160135078,-0.0660705956505671,597,5402,634,3540,597
"YOR117W_03",2122.32216949775,2077.22067938218,0.083021777248738,-0.000816240233704252,268,2807,3216,1102,268
"YJR105W_01",3575.50495136629,2060.54617893451,0.27569827396956,0.273156767840057,1142,567,389,728,389
"YGR022C_07",2188.20535974486,2041.2646762878,0.0827130821090968,0.0558868713498121,891,1982,1085,2389,891
"YOL118C_06",2384.15406378389,2029.75709986319,0.122667013967843,0.0914261507305478,773,2116,223,2518,223
"YMR013C-A_02",2073.82850014221,2019.14795888161,0.12878705651948,0.0456908282622838,1102,1066,2433,382,382
"YNL008C_08",5894.55632136757,2007.07757092726,0.104620894451906,0.0469449753537713,3805,3415,246,3023,246
"YLR207W_00",3453.67220237258,2001.27603939251,0.045127792727976,0.010564441242273,4818,1030,55,2863,55
"YFR002W_04",3675.80498728666,1996.43152808789,0.0122753386163263,0.0806049921271328,1057,5760,2193,91,91
"YJR049C_02",2884.74939366698,1989.92152077568,-0.0330553657202073,0.0831715355936128,2715,129,1437,1208,129
"YBL039C_01",2298.44089112143,1978.32919472775,0.112096348346929,0.142209175065895,1299,1506,1122,1200,1122
"YMR215W_02",2208.35922693822,1970.82316435282,-0.0215076282728488,0.204844804520561,157,3039,1118,361,157
"YHL009W-B_06_DEGEN",10343.3311371093,1898.2328113883,0.208517006310313,0.171789336031686,1414,6142,1101,612,612
"YJR050W_02",2180.84524603234,1852.6107689365,0.044062042472168,0.0545635218162719,1676,2135,2273,1109,1109
"YNR041C_08",2882.00890118964,1841.41455239941,0.0705218504455759,0.109827662008847,720,3210,700,937,700
"YIL061C_06",2259.00854069581,1831.24992149154,0.0359088861392899,0.0717617285262471,1669,1777,351,2062,351
"YPL152W_00",3216.82740946367,1829.72512324927,-0.0170359102904899,0.160897826056776,102,2926,799,1186,102
"YKR085C_06",1832.02619847784,1825.95889541227,-0.138341483810759,-0.00395340643524569,4150,23,1302,2131,23
"YDR463W_09",2218.8312704464,1815.16930935404,-0.121724858490415,-0.0717965471640557,203,2999,5,3043,5
"YNL301C_06",2061.54576963664,1797.27996678923,0.156119557105326,0.208482949307377,1547,519,2157,0,0
"YOR161C_07",2579.88473308787,1794.46362642946,-0.034270447619407,0.0809081752853427,46,802,1729,797,46
"YDR456W_03",1975.91800074585,1786.43324390601,0.099383467257492,0.120124905117943,2292,276,64,1754,64
"YGR170W_03",4077.63229879583,1775.23039987367,0.103859786918709,0.0375212486939274,4595,1026,1622,1189,1026
"YNL156C_05",2438.85935003403,1763.56619738426,0.0698070610949967,-0.0318822527308061,1943,1767,3615,174,174
"YLR407W_08",4023.93685751716,1740.74186469918,0.234517654384368,0.363900133111313,1516,215,435,3,3
"YAR010C_08_DEGEN",2658.99819099902,1733.22280045346,0.191133644621218,0.224155836195718,107,2123,178,784,107
"YNL132W_00",2447.57093408447,1727.88549381348,0.109524311429728,0.0718126352516775,2016,1070,1299,1209,1070
"YML062C_02",3265.84847361302,1726.8842682026,0.1040944649672,0.123519005095315,767,3205,2200,355,355
"YNR025C_09",1918.13677675463,1725.8000890699,0.118018837252796,0.0994208151368991,435,2238,724,1746,435
"YLR023C_02",1899.23133930132,1724.39564542528,0.0782589079507969,0.0419905230645905,64,1785,1189,1384,64
"YDR179W-A_05",1998.18273118998,1722.53105359661,0.0265647752821786,0.106223535742675,2282,1638,1333,953,953
"YDR319C_05",3431.63110425833,1721.2612978201,0.281800773802517,0.148587516849224,672,897,782,965,672
"YLR157W-D_09_DEGEN",2413.27602169743,1719.958298093,0.155610869450004,0.0918786656395841,2575,135,1606,194,135
"YER172C-A_03",3086.674272524,1719.02231152744,0.305288692749791,0.209686898759848,813,431,818,254,254
"YBR035C_03",1721.00909942619,1716.0211312814,-0.0279671210162775,0.0270221613267078,1457,2490,1833,1626,1457
"YOL001W_04",1863.76782781657,1711.81998562321,0.146641942964237,0.108818613562687,1335,398,350,1353,350
"YMR194W_07",2603.90312513719,1705.04165845414,0.0522699417380348,0.0916323543962382,1664,2300,1883,879,879
"YMR030W-A_08",2470.63364507923,1704.37135219532,0.124292397576142,0.107338751184494,1070,1351,841,1464,841
"YER101C_09",2756.37708176787,1695.53069501619,0.0536791284020136,0.0539694412757434,371,4324,3707,113,113
"YGR002C_05",2441.79539040511,1691.0134625669,0.225119091886409,0.191600164217453,222,1476,835,626,222
"YNL235C_02",2468.95033714715,1663.17644823876,0.182222662385971,0.138868595457602,1367,682,566,1313,566
"YIL165C_09",1935.80164525919,1661.00259067416,0.0516448658256613,0.0287237769265048,487,2030,49,1050,49
"YOR330C_06",3267.38108090838,1659.71126330755,0.20420969874795,0.068107923647244,1617,806,1240,1041,806
"YER121W_04",2062.35986553666,1646.21363809109,0.0654823040392882,0.152455568599665,1277,2131,599,1027,599
"YOR033C_06",2110.82013640923,1645.78415157357,0.10493641116139,0.0204518602759111,963,1695,2273,1063,963
"YDR130C_06",4740.1338110394,1645.07984443892,0.134514112764052,0.00231397563741243,778,4844,1527,1882,778
"YBL100W-B_02_DEGEN",2435.50056473859,1642.9951364651,-0.0193299730165137,-0.0811643850521904,1813,2970,4,3299,4
"YGR006W_01",2237.40428888724,1627.20782504669,0.102966067432729,-0.326547568069616,1413,1236,38,2396,38
"YGL063W_06",1713.40415410873,1626.70828117882,0.127466764909605,0.082935803985826,1097,442,207,2508,207
"YER048C_07",2181.58606458078,1602.66382042745,0.118854571065103,0.05924848149669,219,2868,534,1768,219
"YKL209C_08",1987.65674962358,1596.19817145238,0.147243105494498,0.0285945014054396,2029,127,1811,984,127
"YER014W_02",1893.64951592316,1595.49073572401,0.0880541681707526,0.0742962211842452,278,1740,1987,177,177
"YOL067C_01",1679.24932715952,1593.05577204192,0.056596655361874,0.0371946079640745,853,1977,1164,1780,853
"YCR007C_09",1895.61993381968,1585.46938447845,0.112744953251122,0.0993726686302894,1918,870,681,1396,681
"YML004C_06",2379.10677004304,1572.96171100707,0.0308664661580777,0.111003336954761,4594,677,1764,101,101
"YHR188C_01",2926.00728473322,1570.70616385864,0.115379613909992,0.190189801267667,2565,1056,650,643,643
"YKR059W_06",2247.87552670172,1567.96032812334,0.0758672623138943,0.0669752609870949,2157,1234,1292,1201,1201
"YDR191W_01",2707.9366659472,1567.71260368773,0.109970214649659,0.031977149851303,2169,1460,432,1489,432
"YOL087C_01",3978.97886054208,1567.59768998391,0.277159781855843,0.251476029151067,395,1703,34,789,34
"YBL100W-B_07_DEGEN",2349.86017636439,1558.8528244549,0.262853242776347,0.154294600946815,999,194,921,784,194
"YER164W_03",4197.88253683858,1556.54045973088,0.273878707045412,0.207693425668313,1251,599,411,607,411
"YDR192C_03",1840.95974402607,1548.23770144714,0.0511112110081678,0.0632818569835743,905,2608,1569,443,443
"YLR387C_04",2023.64328835284,1542.64516867764,0.247919131831514,0.217399799442514,711,468,96,617,96
"YIL013C_04",1837.7680798466,1540.03054040094,-0.0716931158281536,-0.0509896037780938,2648,2927,668,3135,668
"YNL032W_00",1721.63602615413,1537.4568076803,0.0579662953387114,0.0772645290107308,1980,452,1230,1122,452
"YMR051C_04",1577.11302476044,1534.43045248731,0.0985781403017333,0.129575282458051,413,1270,848,993,413
"YEL061C_01",3701.67262163237,1532.93994931207,0.0334040349527322,-0.00413882284754125,2266,3930,2532,114,114
"YOL098C_03",2354.50562927818,1526.5431338059,0.127412869811516,-0.189817022914865,1202,1183,1624,4267,1183
"YDR218C_02",2577.53796162136,1518.50690723886,0.126751669800055,-0.00901709000801462,243,3088,95,1716,95
"YDR210W-A_06",2191.59856679346,1512.13073026356,0.364029107614164,0.191580766230662,2102,0,483,653,0
"YGL017W_06",1775.00338382345,1501.22415493257,0.0459019004230805,-0.0878606801083295,2005,927,1705,2287,927
"YDR384C_07",1507.15412873839,1496.97691009899,0.169139303067776,0.0581876538153574,616,845,1213,1155,616
"YPR026W_08",2120.66977917486,1495.00766867521,-0.0214948608857415,0.0903637745461942,596,3399,1294,941,596
"YIL172C_03_DEGEN",1820.89568187556,1493.15507226002,0.112550431197109,0.0727888425238825,948,1444,1322,942,942
"YLR154C-H_05_DEGEN",3805.06456602085,1487.78027969968,0.213539462016014,0.201217133228516,810,1737,288,738,288
"YLR285W_03",1926.29450420462,1485.9194974074,0.100438366376839,0.0251280581795553,1901,1181,1627,1211,1181
"YBR142W_05",1562.2720815756,1480.67206394189,0.0878484164991058,0.038645193414923,1058,1087,1182,1640,1058
"YEL028W_04",1486.45190325318,1479.12677153682,-0.0519927268874026,0.0605640339260165,742,3004,1331,796,742
"YMR291W_03",1876.79933636456,1478.48071450706,0.124658705036839,0.0983650952460946,1937,557,1138,811,557
"YBR103C-A_08",2573.09051354328,1473.17999263992,-0.0199199190257835,-0.0293436994630328,541,5876,1247,2568,541
"YPR201W_02",4683.26117401692,1468.97388901273,0.137217972942989,0.0948561577516094,1643,3186,946,1142,946
"YHR190W_00",1470.95764747169,1468.59105456191,-0.0709716517370202,-0.0281282398697553,1597,2113,2722,995,995
"YPR070W_00",2352.80645069005,1468.39650478186,0.0224036802135796,0.124944029262853,1302,3301,2171,40,40
"YHR191C_02",2877.65861068945,1466.24534638316,0.0422575687360718,0.00883366511879596,981,3126,467,1351,467
"YER116C_07",1713.13591789553,1463.34822622555,-0.0560493489879059,-0.0114932943555296,615,3622,560,2462,560
"YKR099W_06",1547.72788967669,1461.35664915787,0.0851089803899755,0.0715806085409024,1059,1395,2261,132,132
"YER070W_07",2484.46925963711,1461.23198151973,-0.0829780486469389,0.0617141459575088,5040,228,273,1328,228
"YLR410W-B_04",11872.8260082779,1460.65983024598,0.286211679068531,0.098990223579549,1571,2375,806,939,806
"YBL082C_04",2453.48909727152,1457.77109071211,0.0487619267458254,0.0243645587985707,2560,1791,590,2276,590
"YGR155W_08",1461.95416176597,1456.70120927183,0.159100617412676,0.108365746015081,574,739,232,1431,232
"YMR063W_00",9710.27201021864,1456.01663322956,0.199207468563964,0.0816788658450393,1024,2880,979,1230,979
"YDL149W_03",3148.46517606694,1455.51390985351,0.174307051498514,0.0902311849883628,1232,1450,1135,711,711
"YDL110C_04",6866.67404637526,1452.31496449984,0.231008291221912,-0.371196573174128,2643,1754,7707,1216,1216
"YKL223W_06",1912.67508627426,1451.57971354018,0.06976143376745,-0.0708715274102982,1252,2134,540,2083,540
"YOR199W_05",7095.42455975606,1447.41874648002,0.127550133381307,0.148208105080452,527,5221,1287,299,299
"YIR027C_03",1599.0346066021,1444.61828316789,0.00643375883228049,-0.0245535677366363,2763,713,1625,1690,713
"YEL066W_00",2997.97050872996,1441.20081608498,0.0811716341377283,0.0455048956319567,491,3362,1343,1216,491
"YCR097W_01",2319.69982960271,1439.75581340567,0.0586259219640563,0.110262021802974,70,2350,468,1111,70
"YLR289W_08",1898.57861954441,1437.17080743267,0.187352768390325,0.156217670396489,532,1116,1437,112,112
"YDL245C_00_DEGEN",1720.00398937668,1433.36780436115,0.0134667543100583,-0.120441709734501,1417,1903,30,1736,30
"YMR292W_09",3668.31784702551,1432.65010910288,0.0850503724950541,0.0286666465375902,5615,628,1825,752,628
"YDR261W-B_08_DEGEN",4012.35710138497,1423.85612823153,0.0941780396956096,0.166061270003995,2251,3286,552,709,552
"YGR271W_03",6655.18676325428,1422.34683382686,0.111172966785217,0.0258407209756851,6260,1664,357,1403,357
"YLR224W_05",3445.0490891707,1416.63722554152,0.0598508897372387,0.151762711378058,67,2498,79,904,67
"YLR289W_05",1735.64718248329,1412.89840964462,0.0527960070374648,0.0354138400710222,1193,1662,1636,787,787
"YPL006W_09",1700.64479728333,1406.81538293429,0.142850639743701,0.154227828389124,125,571,950,306,125
"YPL046C_03",1753.3382779076,1404.69053025226,0.0995021124658874,0.0587910546695648,2163,111,656,1589,111
"YMR166C_06",2239.44944390511,1403.38043888075,0.150121437252441,-0.0337595399304351,2498,0,2541,965,0
"YLR059C_05",3675.22882738983,1402.90760856051,0.130169348057857,0.0883609783308199,1775,2115,1992,224,224
"YEL034W_08",1927.56120052035,1400.65744521648,-0.0354127825789879,-0.00507227979988058,1310,3241,1607,1516,1310
"YOR373W_07",5468.33136999695,1395.52426404399,0.430571543426007,0.164376607518398,64,815,705,828,64
"YOL116W_06",3081.24936969879,1389.99953140255,0.142208805144113,0.0834469756528557,2597,94,984,928,94
"YDL185W_03",1507.67368490709,1388.41976309416,0.00841017414199307,-0.189707796425102,2581,178,171,1904,171
"YBL111C_06_DEGEN",2222.03902789285,1388.17058506261,0.135747170509058,0.153681644423212,1989,423,984,80,80
"YCR033W_05",1523.55166257069,1385.90212232001,-0.061887511592288,-0.00238814768999394,2313,2355,1520,1541,1520
"YMR075W_00",1522.51276552593,1382.81044471225,-0.0243402337023817,-0.0230305491399,1177,2109,521,2446,521
"YBL107C_07",1431.38793670114,1380.58415913515,0.0746715921947602,0.0903802623360443,552,1083,817,972,552
"YLR095C_03",1493.10795202645,1379.85589749287,0.000305899865542434,0.0484936791240034,720,1986,649,1670,649
"YJL190C_09",2001.35469758768,1374.66951669045,0.0225044444028174,0.0499520200505251,1163,3417,1383,936,936
"YOR305W_06",1654.84499873554,1369.40473297974,0.122693976379129,0.112721518390578,1835,420,732,727,420
"YGR086C_04",1551.61785075442,1367.74426154425,0.0308032505925696,0.239847605272529,75,2520,548,387,75
"YDR545C-A_05_DEGEN",1836.19456239626,1358.64338307657,0.107191162631722,-0.0185475477535977,1812,432,1228,1422,432
"YNL320W_02",1861.7483522901,1354.21932982831,0.167055098377764,-0.0376987592405504,514,1060,2092,1154,514
"YJL162C_03",1425.16113303594,1348.90062280925,0.0446800422850512,-0.0109377592118336,382,2000,1386,1607,382
"YEL031W_05",1366.95422472536,1341.93667977715,0.179377300663222,0.135207610960958,1640,13,498,828,13
"YIL102C-A_08",1559.887014455,1341.59173979044,0.124671055253052,0.00647049969503312,1590,449,1870,361,361
"YIL008W_00",1461.90495321823,1333.28352322282,-0.113658767273256,-0.0477711161914499,8,695,100,2045,8
"YJL105W_02",2108.70687310573,1332.22244188969,0.154955855296379,0.0806507954626557,1514,554,1328,747,554
"YBR190W_09",1552.14011545796,1331.67758809168,-0.0135929978166944,0.123104618231226,306,1920,605,1104,306
"YEL076C_05_DEGEN",1554.58572110823,1329.55488379662,0.00866563272367438,0.111932847235225,411,1879,774,729,411
