YIL046W-A	YIL046W-A@chrIX:268116(+)
YPL071C	YPL071C@chrXVI:420564(-)
YDR083W	YDR083W@chrIV:612051(+)
YMR292W	YMR292W@chrXIII:854765(+)
YHR181W	YHR181W@chrVIII:467195(+)
YGR100W	YGR100W@chrVII:690163(+)
YDR371W	YDR371W@chrIV:1219353(+)
YHR201C	YHR201C@chrVIII:501166(-)
YCL059C	YCL059C@chrIII:23404(-)
YFR039C	YFR039C@chrVI:233673(-)
YOR264W	YOR264W@chrXV:818813(+)
YMR135C	YMR135C@chrXIII:540109(-)
YPL100W	YPL100W@chrXVI:361819(+)
YLR380W	YLR380W@chrXII:878179(+)
YHR202W	YHR202W@chrVIII:502356(+)
YKL004W	YKL004W@chrXI:435224(+)
YNL290W	YNL290W@chrXIV:86210(+)
YDL211C	YDL211C@chrIV:80481(-)
YKL121W	YKL121W@chrXI:213927(+)
YPL019C	YPL019C@chrXVI:517153(-)
YNL277W	YNL277W@chrXIV:117239(+)
YDR037W	YDR037W@chrIV:525419(+)
YOR188W	YOR188W@chrXV:685671(+)
YPL183C	YPL183C@chrXVI:202574(-)
YFR008W	YFR008W@chrVI:160492(+)
YBR157C	YBR157C@chrII:555145(-)
YPL226W	YPL226W@chrXVI:121738(+)
YNR023W	YNR023W@chrXIV:670378(+)
YDL006W	YDL006W@chrIV:439588(+)
YJL184W	YJL184W@chrX:83407(+)
YDL103C	YDL103C@chrIV:276654(-)
YPL250C	YPL250C@chrXVI:74786(-)
YDL191W	YDL191W@chrIV:117642(+)
YNL026W	YNL026W@chrXIV:581901(+)
YKL054C	YKL054C@chrXI:338850(-)
YBR188C	YBR188C@chrII:604182(-)
YKL132C	YKL132C@chrXI:195002(-)
YER003C	YER003C@chrV:159149(-)
YGR071C	YGR071C@chrVII:634082(-)
YJR036C	YJR036C@chrX:503545(-)
YOR319W	YOR319W@chrXV:912798(+)
YCL064C	YCL064C@chrIII:16899(-)
YPR009W	YPR009W@chrXVI:576458(+)
YMR313C	YMR313C@chrXIII:901345(-)
YBR160W	YBR160W@chrII:560000(+)
YJL203W	YJL203W@chrX:53318(+)
YAL028W	YAL028W@chrI:92849(+)
YDR531W	YDR531W@chrIV:1498182(+)
YKR018C	YKR018C@chrXI:475939(-)
YPL096C-A	YPL096C-A@chrXVI:366777(-)
YOR190W	YOR190W@chrXV:690332(+)
YJR084W	YJR084W@chrX:583710(+)
YPL053C	YPL053C@chrXVI:458530(-)
YMR066W	YMR066W@chrXIII:401513(+)
YDR325W	YDR325W@chrIV:1117109(+)
YHR195W	YHR195W@chrVIII:490573(+)
YAL059W	YAL059W@chrI:36507(+)
YDL164C	YDL164C@chrIV:167305(-)
YJR020W	YJR020W@chrX:467470(+)
YDL150W	YDL150W@chrIV:183247(+)
YNR055C	YNR055C@chrXIV:730643(-)
YDR475C	YDR475C@chrIV:1410192(-)
YHR084W	YHR084W@chrVIII:273854(+)
YPL261C	YPL261C@chrXVI:49543(-)
YGR289C	YGR289C@chrVII:1076144(-)
YOR182C	YOR182C@chrXV:678821(-)
YFR038W	YFR038W@chrVI:229362(+)
YDL014W	YDL014W@chrIV:427221(+)
YOL088C	YOL088C@chrXV:154767(-)
YPL221W	YPL221W@chrXVI:132812(+)
YGL238W	YGL238W@chrVII:49549(+)
YGL156W	YGL156W@chrVII:210334(+)
YIL075C	YIL075C@chrIX:220733(-)
YBR088C	YBR088C@chrII:425806(-)
