YGR167W	YGR167W@chrVII:832455-833157(+)
YHR015W	YHR015W@chrVIII:134553-136533(+)
YDR488C	YDR488C@chrIV:1429187-1430789(-)
YDL227C	YDL227C@chrIV:46270-48031(-)
YFR037C	YFR037C@chrVI:227512-229186(-)
YKL032C	YKL032C@chrXI:380064-381858(-)
LSR1	LSR1@chrII:680688-681862(-)
YJL051W	YJL051W@chrX:339786-342255(+)
YBR043C	YBR043C@chrII:321875-323945(-)
YOL140W	YOL140W@chrXV:58758-60030(+)
YCL016C	YCL016C@chrIII:94620-95763(-)
YNL312W	YNL312W@chrXIV:48286-49216(+)
YDR317W	YDR317W@chrIV:1102183-1103428(+)
YDL178W	YDL178W@chrIV:139521-141114(+)
YDL192W	YDL192W@chrIV:116320-116866(+)
YJR079W	YJR079W@chrX:580204-581239(+)
YER020W	YER020W@chrV:195167-196517(+)
YEL077W-A	YEL077W-A@chrV:629-1112(+)
YKR088C	YKR088C@chrXI:604404-605418(-)
YLR215C	YLR215C@chrXII:570775-571858(-)
YJR026W	YJR026W@chrX:472759-474082(+)
YOR232W	YOR232W@chrXV:774572-775259(+)
YIR034C	YIR034C@chrIX:419614-420736(-)
YAL063C	YAL063C@chrI:23999-27968(-)
YHR069C-A	YHR069C-A@chrVIII:234873-235236(-)
YKL040C	YKL040C@chrXI:361057-361828(-)
YFR004W	YFR004W@chrVI:153392-154313(+)
YNL108C	YNL108C@chrXIV:419013-419826(-)
YFR032C-A	YFR032C-A@chrVI:223257-223437(-)
YPR178W	YPR178W@chrXVI:892331-893729(+)
YDL122W	YDL122W@chrIV:242551-244981(+)
YLR190W	YLR190W@chrXII:535213-536689(+)
YGL139W	YGL139W@chrVII:245715-248124(+)
YGL105W	YGL105W@chrVII:307436-308567(+)
YPL026C	YPL026C@chrXVI:500674-502183(-)
YGL258W-A	YGL258W-A@chrVII:9161-9395(+)
YAL064W-B	YAL064W-B@chrI:12045-12426(+)
snR40	snR40@chrXIV:89210-89306(+)
YGL231C	YGL231C@chrVII:63047-63620(-)
YJR004C	YJR004C@chrX:442908-444861(-)
YIL017C	YIL017C@chrIX:318199-320965(-)
YIR020C-B	YIR020C-B@chrIX:397214-397949(-)
YMR102C	YMR102C@chrXIII:469847-472352(-)
YGL220W	YGL220W@chrVII:82373-82736(+)
YDR261W-B	YDR261W-B@chrIV:981461-986775(+)
YDR056C	YDR056C@chrIV:565022-565640(-)
YEL059C-A	YEL059C-A@chrV:42399-42624(-)
YOR378W	YOR378W@chrXV:1049510-1051058(+)
YGL177W	YGL177W@chrVII:167558-167906(+)
YJR149W	YJR149W@chrX:707159-708374(+)
YNL297C	YNL297C@chrXIV:71672-76583(-)
YPL268W	YPL268W@chrXVI:35235-37845(+)
YJR056C	YJR056C@chrX:541791-542502(-)
YGL027C	YGL027C@chrVII:443641-446143(-)
YKL121W	YKL121W@chrXI:214141-216700(+)
YDR107C	YDR107C@chrIV:669015-671034(-)
YJR005C-A	YJR005C-A@chrX:448476-448758(-)
YKL101W	YKL101W@chrXI:248919-253476(+)
YHL041W	YHL041W@chrVIII:17391-17841(+)
YHR181W	YHR181W@chrVIII:467227-467914(+)
YBR010W	YBR010W@chrII:256330-256741(+)
YEL050W-A	YEL050W-A@chrV:59548-59740(+)
YHR171W	YHR171W@chrVIII:445712-447605(+)
YML114C	YML114C@chrXIII:42042-43575(-)
YER035W	YER035W@chrV:222638-223076(+)
YER087C-A	YER087C-A@chrV:331816-332368(-)
YDL219W	YDL219W@chrIV:65241-65765(+)
YGR123C	YGR123C@chrVII:736661-738203(-)
YHR163W	YHR163W@chrVIII:423723-424473(+)
YOR314W	YOR314W@chrXV:903042-903372(+)
YJL221C	YJL221C@chrX:16766-18536(-)
YMR031C	YMR031C@chrXIII:332211-334743(-)
YCR006C	YCR006C@chrIII:122529-123003(-)
YLR434C	YLR434C@chrXII:1006024-1006408(-)
YLR098C	YLR098C@chrXII:337526-339473(-)
YAR019C	YAR019C@chrI:172210-175135(-)
YML094C-A	YML094C-A@chrXIII:82218-82620(-)
YGR087C	YGR087C@chrVII:651289-652981(-)
YDL057W	YDL057W@chrIV:351433-352420(+)
YOR195W	YOR195W@chrXV:712865-715331(+)
YHR074W	YHR074W@chrVIII:246192-248337(+)
YPL056C	YPL056C@chrXVI:453429-453735(-)
YOR142W-A	YOR142W-A@chrXV:595111-596434(+)
YJR146W	YJR146W@chrX:703884-704238(+)
YJL129C	YJL129C@chrX:173598-177306(-)
YGR268C	YGR268C@chrVII:1026056-1026653(-)
YBR241C	YBR241C@chrII:702588-704055(-)
YOR136W	YOR136W@chrXV:580249-581359(+)
YOL017W	YOL017W@chrXV:292528-294673(+)
YPL131W	YPL131W@chrXVI:303120-304014(+)
YJR135W-A	YJR135W-A@chrX:676970-677234(+)
YKL124W	YKL124W@chrXI:210592-212332(+)
YDR066C	YDR066C@chrIV:581907-582498(-)
YKR020W	YKR020W@chrXI:478337-478832(+)
YKL162C	YKL162C@chrXI:147629-148838(-)
YDR300C	YDR300C@chrIV:1061504-1062791(-)
YNL339W-B	YNL339W-B@chrXIV:733-1216(+)
YFL015W-A	YFL015W-A@chrVI:106414-106732(+)
YIR028W	YIR028W@chrIX:408467-410375(+)
YGR088W	YGR088W@chrVII:654633-656322(+)
YDR069C	YDR069C@chrIV:584938-587719(-)
YDR185C	YDR185C@chrIV:831933-832473(-)
YAL059C-A	YAL059C-A@chrI:36495-36918(-)
YIL126W	YIL126W@chrIX:117991-122071(+)
YDR098C	YDR098C@chrIV:644177-645035(-)
YML059C	YML059C@chrXIII:153218-158258(-)
YBR101C	YBR101C@chrII:443820-444693(-)
YEL073C	YEL073C@chrV:7229-7553(-)
YLR369W	YLR369W@chrXII:859551-861525(+)
YCL050C	YCL050C@chrIII:37835-38801(-)
YIL048W	YIL048W@chrIX:261436-264892(+)
YER154W	YER154W@chrV:475019-476228(+)
YEL046C	YEL046C@chrV:67628-68792(-)
YOR068C	YOR068C@chrXV:453868-454213(-)
YIR030C	YIR030C@chrIX:412035-412770(-)
YLR305C	YLR305C@chrXII:738160-743863(-)
YLR167W	YLR167W@chrXII:498946-499405(+)
YIL094C	YIL094C@chrIX:186516-187632(-)
YGL134W	YGL134W@chrVII:255662-256964(+)
YAL037W	YAL037W@chrI:74019-74823(+)
YKR067W	YKR067W@chrXI:567917-570149(+)
YMR189W	YMR189W@chrXIII:637499-640604(+)
YGL085W	YGL085W@chrVII:349615-350440(+)
YHR086W-A	YHR086W-A@chrVIII:280230-280392(+)
YGL130W	YGL130W@chrVII:266144-267524(+)
YLR125W	YLR125W@chrXII:393483-393894(+)
YFL002W-B	YFL002W-B@chrVI:138203-139520(+)
YPL223C	YPL223C@chrXVI:128631-129138(-)
YDR458C	YDR458C@chrIV:1380054-1382046(-)
YLR089C	YLR089C@chrXII:318236-320015(-)
YLR297W	YLR297W@chrXII:724043-724433(+)
YAR020C	YAR020C@chrI:176855-177023(-)
YPL248C	YPL248C@chrXVI:79710-82356(-)
YIL112W	YIL112W@chrIX:151594-154846(+)
YER052C	YER052C@chrV:256374-257958(-)
YHR104W	YHR104W@chrVIII:323408-324392(+)
YNR077C	YNR077C@chrXIV:783286-783541(-)
YGR215W	YGR215W@chrVII:922174-922507(+)
YBL048W	YBL048W@chrII:127298-127610(+)
YGL041W-A	YGL041W-A@chrVII:418824-419289(+)
YGR072W	YGR072W@chrVII:634303-635467(+)
YOR084W	YOR084W@chrXV:480586-481750(+)
YPR042C	YPR042C@chrXVI:650434-653662(-)
YPL077C	YPL077C@chrXVI:409367-410090(-)
YJL058C	YJL058C@chrX:326241-327873(-)
YOR034C	YOR034C@chrXV:394836-397086(-)
YHR148W	YHR148W@chrVIII:393533-394085(+)
YKL081W	YKL081W@chrXI:282890-284455(+)
YBL037W	YBL037W@chrII:147208-150286(+)
YPL135C-A	YPL135C-A@chrXVI:297677-297851(-)
YER062C	YER062C@chrV:279929-280682(-)
YGR057C	YGR057C@chrVII:604772-605501(-)
YGR218W	YGR218W@chrVII:932540-935795(+)
YGR262C	YGR262C@chrVII:1016973-1017759(-)
YNL150W	YNL150W@chrXIV:349250-349658(+)
YDR542W	YDR542W@chrIV:1523248-1523611(+)
YML049C	YML049C@chrXIII:174219-178305(-)
YHR188C	YHR188C@chrVIII:482004-483837(-)
YPR111W	YPR111W@chrXVI:747305-749000(+)
YLR238W	YLR238W@chrXII:614754-616191(+)
YPL073C	YPL073C@chrXVI:418498-418984(-)
YLR202C	YLR202C@chrXII:550193-550636(-)
YBR114W	YBR114W@chrII:467247-469620(+)
YNL024C-A	YNL024C-A@chrXIV:586601-586820(-)
YMR237W	YMR237W@chrXIII:743748-745923(+)
YDR280W	YDR280W@chrIV:1020746-1021664(+)
YBL085W	YBL085W@chrII:63875-66818(+)
YIL002W-A	YIL002W-A@chrIX:350300-350510(+)
YOR263C	YOR263C@chrXV:818756-819164(-)
YOR329C	YOR329C@chrXV:936730-939349(-)
YDL117W	YDL117W@chrIV:248580-251238(+)
YIR037W	YIR037W@chrIX:423127-423619(+)
YOR266W	YOR266W@chrXV:821022-822294(+)
YMR047C	YMR047C@chrXIII:363363-366705(-)
YCR108C	YCR108C@chrIII:315996-316188(-)
YDL153C	YDL153C@chrIV:181185-183018(-)
YLR049C	YLR049C@chrXII:243885-245172(-)
YCR024C-A	YCR024C-A@chrIII:162944-163067(-)
YLL058W	YLL058W@chrXII:23568-25296(+)
YCR027C	YCR027C@chrIII:167369-167999(-)
YLR366W	YLR366W@chrXII:855537-855843(+)
YDR309C	YDR309C@chrIV:1079047-1080199(-)
YPL229W	YPL229W@chrXVI:117066-117687(+)
YLR135W	YLR135W@chrXII:413280-415527(+)
YPR204C-A	YPR204C-A@chrXVI:946855-947338(-)
YGR138C	YGR138C@chrVII:763761-765606(-)
snR65	snR65@chrIII:177183-177282(+)
YGR049W	YGR049W@chrVII:591313-591877(+)
YDL119C	YDL119C@chrIV:246688-247612(-)
YOR387C	YOR387C@chrXV:1069620-1070241(-)
YBR083W	YBR083W@chrII:409168-410629(+)
YGR256W	YGR256W@chrVII:1004623-1006102(+)
YNL285W	YNL285W@chrXIV:96172-96544(+)
YBR186W	YBR186W@chrII:600552-602360(+)
YPR186C	YPR186C@chrXVI:909732-911022(-)
YIL033C	YIL033C@chrIX:290418-291669(-)
YDR241W	YDR241W@chrIV:945150-945438(+)
YJL222W-B	YJL222W-B@chrX:9345-9483(+)
snR30	snR30@chrXII:198784-199389(+)
